# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0986695
# Diagonal elements of inverse mass matrix:
# 0.243526, 0.0825443
516.954,0.971151,0.0986695,4,23,0,-516.576,3.79593,-0.343129,28.0001,26.9892,25.5807,24.8329,24.3353,24.0285,24.2455,23.7742,22.3681,22.715
517.104,0.985558,0.0986695,2,7,0,-516.86,3.76059,-0.353314,26.6585,25.6679,24.2897,23.5589,23.073,22.7736,22.9853,22.5254,21.1548,21.4927
516.96,0.957143,0.0986695,4,23,0,-516.521,3.6466,-0.266204,26.7583,26.0057,24.9465,24.3788,23.9991,23.764,23.9303,23.5686,22.4798,22.7498
515.912,0.778727,0.0986695,1,3,0,-515.831,3.69366,-0.250812,28.6371,27.8776,26.8065,26.2314,25.8462,25.6076,25.7764,25.4092,24.3018,24.5767
516.367,0.975639,0.0986695,5,33,0,-515.037,4.60008,-0.811066,33.2473,30.4794,26.8524,25.0338,23.8644,23.1594,23.6567,22.5842,19.5533,20.2776
516.464,0.819078,0.0986695,5,35,0,-514.781,3.40688,-0.116756,25.767,25.4466,24.9867,24.7357,24.566,24.4601,24.5351,24.3717,23.8714,23.9967
515.575,0.765166,0.0986695,1,1,0,-515.569,3.43635,-0.102584,27.0507,26.7549,26.3296,26.0971,25.9396,25.8414,25.911,25.7594,25.2941,25.4108
515.19,0.883135,0.0986695,1,1,0,-514.899,3.4511,-0.102087,27.471,27.1721,26.7423,26.5072,26.3481,26.2488,26.3191,26.1659,25.6955,25.8135
516.1,0.847266,0.0986695,3,15,0,-513,3.13947,0.0188744,23.6882,23.7362,23.8062,23.8451,23.8717,23.8884,23.8765,23.9023,23.9826,23.9623
515.522,0.826979,0.0986695,3,15,0,-513.909,2.97198,0.0874142,21.9796,22.1864,22.4915,22.6621,22.7792,22.853,22.8007,22.915,23.2737,23.1826
515.685,1,0.0986695,1,3,0,-515.52,2.98296,0.102002,22.6647,22.9138,23.2818,23.4881,23.6298,23.7191,23.6558,23.7942,24.2294,24.1188
515.335,0.865433,0.0986695,2,3,0,-515.034,3.03977,0.105726,24.1105,24.3852,24.7913,25.019,25.1755,25.2741,25.2042,25.3571,25.8379,25.7157
515.839,0.978597,0.0986695,2,3,0,-515.239,3.0349,0.0711746,22.899,23.0743,23.3323,23.4763,23.5751,23.6372,23.5932,23.6894,23.9909,23.9145
514.912,0.914488,0.0986695,3,15,0,-514.242,2.77886,0.20042,21.1094,21.5677,22.2536,22.6426,22.9119,23.0823,22.9614,23.2262,24.0682,23.8528
514.803,0.955323,0.0986695,3,11,0,-514.297,2.73616,0.229671,21.0426,21.567,22.3548,22.8032,23.1142,23.3113,23.1715,23.4779,24.4558,24.2052
515.519,0.792495,0.0986695,4,19,0,-512.832,3.40903,-0.202405,22.9998,22.5063,21.8058,21.4275,21.1732,21.0154,21.1271,20.8839,20.1462,20.3299
515.239,0.979096,0.0986695,2,3,0,-514.897,3.47039,-0.113531,27.5763,27.2428,26.7639,26.5025,26.3256,26.2153,26.2934,26.1232,25.6015,25.7322
517.156,1,0.0986695,4,27,0,-514.515,3.82224,-0.379951,27.3511,26.2597,24.7465,23.9467,23.4161,23.0894,23.3204,22.819,21.3293,21.6959
517.155,0.965849,0.0986695,4,23,0,-516.854,3.92544,-0.450525,27.5659,26.2665,24.4815,23.5462,22.9288,22.55,22.8177,22.2372,20.5265,20.9455
517.179,0.992474,0.0986695,2,3,0,-517.104,3.93885,-0.45379,27.8151,26.4948,24.6817,23.732,23.1053,22.7208,22.9925,22.4033,20.6679,21.0928
517.149,0.99814,0.0986695,5,43,0,-517.107,3.86342,-0.396965,27.8532,26.693,25.0881,24.2416,23.6806,23.3356,23.5795,23.0501,21.4803,21.8662
517.152,0.999516,0.0986695,5,43,0,-516.766,4.04695,-0.502596,29.0123,27.4909,25.4152,24.3344,23.6236,23.1886,23.496,22.8301,20.8797,21.3557
516.843,0.972715,0.0986695,4,31,0,-515.649,3.58281,-0.261649,25.2597,24.5612,23.5776,23.0502,22.6972,22.4786,22.6333,22.297,21.2842,21.5354
