# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0879736
# Diagonal elements of inverse mass matrix:
# 0.258552, 0.0868116
516.394,0.908037,0.0879736,2,3,0,-515.374,4.3777,-0.664948,32.4293,30.1987,27.2194,25.6986,24.7102,24.1101,24.5337,23.618,20.9862,21.6215
516.597,1,0.0879736,2,3,0,-516.256,4.2843,-0.683963,28.7882,26.7535,24.0425,22.6619,21.7659,21.2223,21.606,20.777,18.3995,18.9726
516.28,0.755495,0.0879736,2,3,0,-515.038,4.34308,-0.639437,32.4245,30.2769,27.3988,25.9251,24.9655,24.3822,24.7941,23.9035,21.3363,21.9571
514.628,0.872874,0.0879736,4,19,0,-514.012,4.51276,-0.860252,28.5077,25.997,22.7281,21.0989,20.0551,19.4272,19.87,18.9158,16.2347,16.8733
515.509,0.9827,0.0879736,2,3,0,-514.581,4.60334,-0.781188,34.73,31.9408,28.2715,26.425,25.2351,24.5166,25.0235,23.9299,20.8286,21.5713
515.318,0.950475,0.0879736,1,1,0,-515.078,4.60488,-0.777459,34.9595,32.1647,28.4863,26.6344,25.4406,24.7197,25.2283,24.1309,21.0175,21.7633
516.043,0.800365,0.0879736,2,3,0,-512.994,4.55543,-0.847398,30.272,27.644,24.2166,22.5057,21.4085,20.7481,21.2138,20.21,17.3851,18.0585
513.913,0.730063,0.0879736,1,3,0,-513.792,4.50062,-0.866487,27.9276,25.451,22.2291,20.6245,19.597,18.979,19.4148,18.4759,15.8396,16.4673
516.138,1,0.0879736,2,3,0,-514.317,4.63458,-0.822653,33.8796,31.0205,27.2797,25.4067,24.2034,23.4783,23.9898,22.8869,19.7746,20.5179
516.678,0.998279,0.0879736,5,43,0,-515.815,3.41047,-0.135704,25.2058,24.8419,24.3208,24.0371,23.8455,23.7262,23.8107,23.6265,23.0637,23.2045
515.205,0.927295,0.0879736,5,39,0,-514.164,2.90779,0.169398,23.0282,23.45,24.0789,24.4341,24.6795,24.8346,24.7246,24.9653,25.7282,25.5335
514.685,0.943085,0.0879736,4,19,0,-513.601,2.73418,0.263303,21.9775,22.6065,23.5557,24.0981,24.4753,24.7147,24.5448,24.9173,26.1107,25.8042
514.887,0.999949,0.0879736,2,7,0,-514.599,2.76078,0.214786,21.1375,21.6297,22.3677,22.7869,23.0775,23.2615,23.1309,23.4169,24.3278,24.0946
513.144,0.740298,0.0879736,2,3,0,-512.12,2.82488,0.264477,24.1024,24.7953,25.8412,26.4389,26.8546,27.1185,26.9312,27.3418,28.6573,28.3194
514.623,0.996967,0.0879736,3,15,0,-512.31,3.17896,0.0541806,25.8466,25.9971,26.2181,26.3412,26.4255,26.4785,26.4409,26.523,26.7796,26.7146
516.008,1,0.0879736,5,51,0,-513.412,4.10229,-0.601474,26.8275,25.1528,22.8972,21.7368,20.9792,20.5178,20.8436,20.1387,18.0975,18.5923
515.462,0.890797,0.0879736,1,1,0,-515.334,4.08954,-0.606941,26.2928,24.637,22.4085,21.2628,20.5151,20.0599,20.3814,19.6859,17.6734,18.1611
516.256,1,0.0879736,2,3,0,-515.39,4.22412,-0.565994,31.7919,29.9208,27.389,26.0809,25.2246,24.7022,25.0712,24.2724,21.9502,22.5145
516.892,1,0.0879736,3,15,0,-516.078,4.32064,-0.653784,31.0961,28.9919,26.1772,24.7385,23.8027,23.2342,23.6356,22.7679,20.271,20.8742
515.475,0.79687,0.0879736,2,3,0,-515.198,4.34306,-0.618971,33.3334,31.1939,28.3191,26.8433,25.881,25.2954,25.7089,24.8145,22.2302,22.856
515.249,0.985297,0.0879736,4,27,0,-512.897,4.75213,-0.973189,31.091,28.0116,24.0612,22.1194,20.8855,20.1473,20.6675,19.5484,16.4443,17.1779
511.703,0.728837,0.0879736,2,3,0,-510.968,4.73207,-1.02713,28.3312,25.3781,21.6161,19.7792,18.6165,17.9227,18.4116,17.3609,14.4649,15.1468
514.476,1,0.0879736,1,1,0,-512.267,4.77145,-1.00238,30.4714,27.3677,23.4011,21.4584,20.2265,19.4905,20.0092,18.8941,15.8117,16.5387
515.671,0.988954,0.0879736,1,3,0,-514.636,4.81627,-0.989182,32.4418,29.1787,25.0011,22.9517,21.6509,20.8733,21.4213,20.2428,16.9801,17.7504
515.671,0.964104,0.0879736,1,1,0,-515.519,4.81627,-0.989182,32.4418,29.1787,25.0011,22.9517,21.6509,20.8733,21.4213,20.2428,16.9801,17.7504
514.945,0.930749,0.0879736,2,7,0,-514.941,4.88719,-0.951459,36.6476,33.0949,28.5242,26.2716,24.8379,23.9792,24.5845,23.2821,19.6609,20.5181
516.03,0.998351,0.0879736,2,7,0,-514.85,4.7923,-0.953825,33.2234,29.9951,25.8429,23.7971,22.4953,21.7158,22.2653,21.0829,17.7963,18.5741
516.461,0.990911,0.0879736,5,43,0,-514.917,3.28416,-0.0714092,24.2315,24.0468,23.7801,23.6337,23.5344,23.4723,23.5163,23.4204,23.1251,23.1993
516.416,0.567681,0.0879736,2,3,0,-511.87,3.26671,-0.0666526,23.966,23.7954,23.549,23.4137,23.3218,23.2644,23.305,23.2164,22.943,23.0117
516.729,0.924482,0.0879736,5,43,0,-513.829,4.36737,-0.673483,31.728,29.5186,26.5709,25.0679,24.0916,23.4991,23.9174,23.0134,20.418,21.0441
