# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0995168
# Diagonal elements of inverse mass matrix:
# 0.242407, 0.0828413
515.144,0.882645,0.0995168,3,11,0,-513.93,4.14898,-0.496542,32.3925,30.7138,28.4216,27.2272,26.4414,25.9603,26.3002,25.5637,23.405,23.932
514.835,0.999723,0.0995168,4,27,0,-513.969,3.5849,-0.168749,28.6985,28.1841,27.4509,27.0533,26.7853,26.6187,26.7367,26.4798,25.6977,25.8929
516.851,0.717985,0.0995168,2,3,0,-512.042,3.59195,-0.230483,26.5881,25.9393,25.0221,24.5283,24.1972,23.9918,24.1371,23.821,22.8652,23.1027
516.631,0.916506,0.0995168,1,3,0,-516.327,3.55757,-0.258136,24.7474,24.0721,23.1208,22.6104,22.2688,22.0573,22.2069,21.8814,20.9005,21.1439
517.177,0.996404,0.0995168,4,27,0,-516.034,4.02677,-0.495523,28.7059,27.2212,25.1936,24.137,23.4418,23.0162,23.3169,22.6652,20.755,21.2215
517.017,0.946252,0.0995168,2,3,0,-516.949,3.99997,-0.506181,27.5469,26.0924,24.1087,23.0763,22.3975,21.9822,22.2757,21.6399,19.7786,20.2328
516.651,0.968376,0.0995168,2,3,0,-516.641,3.98178,-0.513085,26.7992,25.3653,23.4117,22.3958,21.7282,21.3198,21.6084,20.9833,19.155,19.6009
517.183,0.99981,0.0995168,3,15,0,-516.714,3.96105,-0.457379,28.302,26.9481,25.0899,24.1171,23.4752,23.0815,23.3597,22.7565,20.9803,21.4151
515.25,0.56394,0.0995168,2,3,0,-513.261,4.07388,-0.454374,31.8112,30.2993,28.2232,27.1359,26.4184,25.9782,26.2893,25.6148,23.6281,24.1146
515.567,1,0.0995168,3,11,0,-514.842,4.04436,-0.578836,26.1043,24.5341,22.4131,21.319,20.6034,20.1671,20.4753,19.8084,17.8725,18.3425
516.777,0.995929,0.0995168,5,39,0,-515.132,3.47292,-0.17102,25.5797,25.1151,24.4531,24.0941,23.8523,23.702,23.8084,23.5766,22.871,23.0471
