# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0908687
# Diagonal elements of inverse mass matrix:
# 0.24776, 0.0841698
516.917,0.993232,0.0908687,5,35,0,-515.134,3.85018,-0.424444,26.4846,25.3069,23.6834,22.83,22.2655,21.9188,22.1639,21.6323,20.0609,20.4464
516.928,0.950536,0.0908687,3,15,0,-516.345,3.95102,-0.428673,29.1277,27.8198,26.0179,25.0712,24.4452,24.0608,24.3326,23.7431,22.0019,22.429
517.003,0.952863,0.0908687,4,31,0,-516.383,4.17626,-0.568179,30.2169,28.4318,26.0171,24.7698,23.9535,23.4555,23.8073,23.0459,20.8329,21.3706
517.151,0.999497,0.0908687,3,15,0,-516.952,4.11177,-0.551701,28.9675,27.3044,25.0498,23.8829,23.1183,22.6515,22.9812,22.2673,20.1881,20.6939
516.544,0.881519,0.0908687,5,45,0,-513.166,4.57196,-0.82679,31.6456,28.9622,25.4532,23.6971,22.5692,21.8897,22.369,21.3357,18.4208,19.1166
516.334,0.920989,0.0908687,4,19,0,-515.792,4.37976,-0.745161,29.1576,26.9196,23.9617,22.4665,21.5005,20.9162,21.3285,20.4384,17.9039,18.5124
516.598,0.999685,0.0908687,3,15,0,-516.127,4.5045,-0.79487,30.8853,28.3632,25.0513,23.3874,22.3163,21.6699,22.1259,21.1424,18.3577,19.0239
516.551,0.999842,0.0908687,2,7,0,-516.508,4.55948,-0.795802,32.5899,29.9256,26.4275,24.6702,23.539,22.8564,23.338,22.2993,19.3591,20.0625
517.054,0.747992,0.0908687,4,19,0,-514.272,4.20276,-0.612512,29.2238,27.3671,24.87,23.5871,22.7502,22.2407,22.6005,21.8223,19.5721,20.1172
516.257,0.962867,0.0908687,4,31,0,-514.391,4.68266,-0.864889,33.5761,30.6038,26.7363,24.8098,23.5759,22.8339,23.3572,22.2297,19.0632,19.8171
514.291,0.676405,0.0908687,4,19,0,-512.432,4.1283,-0.650956,25.7534,24.018,21.6958,20.5084,19.7359,19.2666,19.598,18.8816,16.8193,17.3176
516.578,0.975692,0.0908687,1,3,0,-514.659,4.18717,-0.631744,28.0337,26.1985,23.7366,22.4748,21.6528,21.1529,21.5059,20.7425,18.5402,19.073
516.569,0.996994,0.0908687,2,3,0,-516.418,4.2644,-0.600788,31.5783,29.6092,26.9568,25.5922,24.7012,24.1586,24.5418,23.7127,21.3119,21.8939
515,0.886274,0.0908687,4,23,0,-513.086,4.86723,-1.03826,31.9467,28.5826,24.3033,22.2166,20.8969,20.1099,20.6644,19.4727,16.1924,16.9642
517.025,0.99822,0.0908687,5,47,0,-515.037,4.28149,-0.64655,30.1962,28.1747,25.4681,24.0834,23.1823,22.6347,23.0213,22.1854,19.7778,20.3597
516.857,0.967462,0.0908687,2,7,0,-516.756,4.28348,-0.626558,31.0849,29.0661,26.3561,24.9662,24.0604,23.5094,23.8985,23.0571,20.628,21.2158
516.713,0.892612,0.0908687,2,3,0,-515.992,4.26697,-0.669524,28.8509,26.8533,24.1867,22.8263,21.9425,21.4059,21.7847,20.9661,18.6146,19.1821
516.237,0.981328,0.0908687,5,49,0,-515.379,4.5032,-0.739337,33.249,30.7161,27.3659,25.6712,24.5759,23.9131,24.3808,23.3711,20.4941,21.1851
